transaction_id,transaction_date,amount,account_type,category,business_unit,region,customer_id,vendor_id,description
TRX100046,08-01-2023,-14936.32,Expense,Marketing,Online,East,,VEND1025,Second get its since return.
TRX100047,30-09-2023,141946.92,Revenue,Service,Retail,West,CUST10342,,Then section each support majority.
TRX100048,05-12-2023,-28844.76,Expense,Supplies,Online,West,,VEND1060,Where keep leader computer father brother a give.
TRX100049,09-08-2022,-66244.00,Expense,Supplies,Enterprise,North,,VEND1089,Big itself serious.
TRX100050,02-04-2023,15704.88,Asset,Asset,Enterprise,East,,,Test fill perform voice.
TRX100051,18-09-2022,209846.71,Revenue,Subscription,Retail,South,CUST10190,,School common voice itself.
TRX100052,16-06-2022,-45798.81,Expense,Marketing,Enterprise,East,,VEND1011,Majority early special record sit scene price.
TRX100053,06-05-2022,-22712.23,Expense,Payroll,Enterprise,North,,VEND1079,Daughter training suffer miss money.
TRX100054,16-11-2022,-51925.51,Expense,Other,Online,East,,VEND1098,Including measure leave road leg mention.
TRX100055,03-02-2023,-42768.16,Expense,Rent,Online,North,,VEND1082,Technology far reach thought probably cover increase.
TRX100056,04-04-2022,-22339.95,Expense,Marketing,Retail,East,,VEND1001,Play prepare red goal.
TRX100057,10-03-2023,-43856.82,Expense,Utilities,Enterprise,West,,VEND1042,Hard this despite certain they both provide machine.
TRX100058,18-06-2022,86224.06,Revenue,Product,Retail,East,CUST10151,,Summer everyone his magazine six value week.
TRX100059,14-09-2022,196305.77,Revenue,Service,Enterprise,West,CUST10016,,Pm like matter price personal for.
TRX100060,11-12-2023,144148.90,Revenue,Product,Online,South,CUST10049,,True shoulder away.
TRX100061,07-11-2022,161193.89,Revenue,Product,Online,South,CUST10129,,Page truth although under for water analysis.
TRX100062,04-09-2022,157413.67,Revenue,Service,Online,West,CUST10183,,Early choice speech follow fund measure.
TRX100063,22-01-2022,113690.25,Revenue,Subscription,Enterprise,West,CUST10348,,Same whether interesting half Republican.
TRX100064,14-08-2023,194267.47,Revenue,Subscription,Online,East,CUST10075,,Half toward his.
TRX100065,02-04-2023,-53590.90,Expense,Marketing,Enterprise,South,,VEND1107,Source learn expect show.
TRX100066,10-10-2022,-29061.06,Expense,Other,Retail,North,,VEND1019,House performance sign deep.
TRX100067,09-12-2022,-48080.35,Expense,Rent,Retail,North,,VEND1030,Home now local perform by.
TRX100068,07-07-2022,218024.69,Revenue,Product,Online,North,CUST10321,,Dog eight perhaps audience past eye.
TRX100069,07-07-2022,-38127.82,Expense,Rent,Enterprise,West,,VEND1086,His another government threat choose water fear.
TRX100070,04-03-2023,-31873.97,Expense,Rent,Retail,North,,VEND1086,Enjoy keep pass write state even bank.
TRX100071,05-06-2023,203084.24,Revenue,Subscription,Online,West,CUST10116,,Possible talk model why we town decade.
TRX100072,30-12-2023,222948.96,Revenue,Subscription,Online,North,CUST10063,,Black sit anyone language song show watch better.
TRX100073,10-12-2023,238667.54,Revenue,Product,Enterprise,South,CUST10137,,Rate reflect building guess well TV.
TRX100074,22-04-2022,132774.78,Revenue,Subscription,Retail,South,CUST10298,,And stop raise somebody nice.
TRX100075,17-09-2023,188545.69,Revenue,Subscription,Enterprise,North,CUST10187,,Wonder increase hundred today final debate.
TRX100076,10-05-2023,138240.93,Revenue,Service,Retail,East,CUST10285,,Pick fast one entire.
TRX100077,11-08-2023,-14341.81,Expense,Payroll,Online,North,,VEND1095,East very manager set act perhaps company ability.
TRX100078,09-12-2022,163678.60,Revenue,Product,Enterprise,West,CUST10207,,Three specific late economic serious word.
TRX100079,17-10-2022,198317.90,Revenue,Product,Enterprise,West,CUST10207,,Continue beyond suffer plant student.
TRX100080,15-08-2023,188616.88,Revenue,Product,Retail,North,CUST10108,,Doctor surface girl friend everybody thousand under.
TRX100081,26-06-2022,-25218.03,Expense,Marketing,Online,East,,VEND1089,Kid item feeling less player.
TRX100082,27-09-2023,-15892.26,Expense,Supplies,Enterprise,South,,VEND1025,Increase mouth your indeed.
TRX100083,03-09-2022,199974.44,Revenue,Subscription,Enterprise,South,CUST10092,,Letter along six agent staff industry who.
TRX100084,05-05-2022,128923.58,Revenue,Service,Enterprise,North,CUST10082,,Cell prevent goal view water shake matter effect.
TRX100085,25-02-2023,67222.23,Revenue,Service,Online,West,CUST10209,,End cover a enough speak figure.
TRX100086,28-12-2022,186952.56,Revenue,Subscription,Online,West,CUST10089,,Economic behind young American artist main personal.
TRX100087,09-07-2023,164462.06,Revenue,Service,Retail,East,CUST10042,,Girl reveal order deep chair cut sit.
TRX100088,07-11-2022,18077.56,Equity,Equity,Enterprise,South,,,Once fact interest difference section remain.
TRX100089,14-10-2023,72337.28,Revenue,Service,Online,South,CUST10157,,Able finish they defense yet activity.
TRX100090,18-07-2022,-40667.50,Expense,Rent,Online,South,,VEND1090,Instead age animal popular parent baby.
TRX100091,04-01-2022,177006.22,Revenue,Product,Retail,West,CUST10212,,Choose per range week.
TRX100092,17-07-2022,-33821.98,Expense,Other,Online,West,,VEND1059,Lay buy bar century.
TRX100093,07-07-2022,113760.10,Revenue,Service,Enterprise,South,CUST10232,,Congress whose main matter coach loss executive.
TRX100094,26-02-2022,68040.32,Revenue,Service,Retail,South,CUST10121,,Bar rock democratic positive live easy grow.
TRX100095,25-07-2023,114168.76,Revenue,Product,Retail,West,CUST10237,,Certainly believe white money.
TRX100096,18-04-2023,104796.05,Revenue,Product,Online,West,CUST10266,,Support visit else lead call.
TRX100097,17-03-2022,-40864.74,Expense,Other,Retail,East,,VEND1072,But share truth conference seem TV.
TRX100098,29-08-2023,-10569.47,Expense,Supplies,Retail,East,,VEND1065,Officer agree interesting nice risk from medical some.
TRX100099,23-01-2023,-58587.41,Expense,Rent,Online,North,,VEND1055,Report go now get few.
TRX100100,07-09-2023,-52304.95,Expense,Rent,Online,South,,VEND1114,Prove crime everyone garden this a.
TRX100101,28-07-2022,-29143.83,Expense,Rent,Retail,East,,VEND1055,Road teach exactly against.
TRX100102,19-07-2022,25663.11,Asset,Asset,Enterprise,West,,,Whose total make identify.
TRX100103,22-02-2023,-67973.90,Expense,Rent,Online,East,,VEND1096,Opportunity available of keep forward.
TRX100104,12-01-2022,-29643.10,Expense,Payroll,Enterprise,East,,VEND1005,Between religious team despite indeed back.
TRX100105,21-05-2022,152156.21,Revenue,Product,Online,South,CUST10000,,Baby serious enter perform imagine low focus position.
TRX100106,15-06-2022,111093.11,Revenue,Service,Online,South,CUST10242,,Culture nor sound nature dream score.
TRX100107,12-10-2022,160063.62,Revenue,Product,Online,West,CUST10191,,Such source anything article.
TRX100108,04-06-2022,163121.36,Revenue,Service,Enterprise,South,CUST10143,,Other job alone economy movement after.
TRX100109,22-07-2022,211276.40,Revenue,Subscription,Retail,East,CUST10093,,Number world tough pull increase find.
TRX100110,18-02-2022,-32825.35,Expense,Marketing,Retail,West,,VEND1097,First land test claim must section.
TRX100111,06-12-2022,-4636.57,Expense,Payroll,Retail,South,,VEND1021,Point now another early.
TRX100112,03-02-2022,159281.15,Revenue,Service,Enterprise,East,CUST10144,,Old material place think nation even.
TRX100113,27-06-2023,-34378.11,Expense,Rent,Retail,North,,VEND1052,Suddenly land laugh reality write war only eye.
TRX100114,08-08-2023,170722.89,Revenue,Service,Online,West,CUST10215,,Establish later sport state receive manager leg.
TRX100115,09-08-2023,-15399.58,Expense,Supplies,Enterprise,East,,VEND1025,Garden grow say charge.
TRX100116,31-10-2023,15498.98,Equity,Equity,Retail,North,,,National no phone nor they true.
TRX100117,22-08-2022,154491.36,Revenue,Subscription,Enterprise,East,CUST10277,,Hotel cause fall market family president.
TRX100118,29-12-2023,101231.07,Revenue,Service,Online,West,CUST10120,,Law religious treat majority agreement.
TRX100119,24-12-2022,158267.98,Revenue,Subscription,Retail,South,CUST10301,,Democrat name religious consider force.
TRX100120,14-08-2023,-16519.06,Expense,Marketing,Online,North,,VEND1103,Return receive whose find change explain.
TRX100121,05-04-2023,133795.88,Revenue,Product,Online,East,CUST10094,,Large high never near.
TRX100122,12-02-2023,150954.20,Revenue,Subscription,Enterprise,West,CUST10279,,Offer future huge from price require these.
TRX100123,01-05-2023,156547.14,Revenue,Subscription,Online,South,CUST10304,,Might give fast break less.
TRX100124,14-10-2022,-22084.36,Expense,Utilities,Retail,North,,VEND1018,Safe positive base go better body.
TRX100125,11-03-2022,-43759.35,Expense,Payroll,Enterprise,West,,VEND1019,Expect someone they decade heavy fact guy.
TRX100126,22-05-2023,153964.81,Revenue,Subscription,Enterprise,North,CUST10227,,Wife edge agree leg approach role chance tree.
TRX100127,08-05-2023,189532.01,Revenue,Product,Enterprise,West,CUST10356,,Little task any world onto sister be go.
TRX100128,21-02-2023,136617.82,Revenue,Service,Online,South,CUST10181,,Air past better American guess item like under.
TRX100129,21-03-2023,22872.89,Equity,Equity,Retail,West,,,Just according clearly travel.
TRX100130,19-05-2023,225791.57,Revenue,Product,Online,East,CUST10144,,Idea soldier anyone message community safe professor cost.
TRX100131,18-04-2022,-47065.38,Expense,Supplies,Enterprise,East,,VEND1083,Crime ball cultural knowledge rich.
TRX100132,05-01-2023,142464.20,Revenue,Service,Retail,West,CUST10313,,Event still his stay time.
TRX100133,13-07-2022,230992.58,Revenue,Service,Retail,West,CUST10130,,Business stop hear hospital growth.
TRX100134,19-03-2022,-36714.94,Expense,Other,Online,West,,VEND1093,Memory place skill claim paper image area discuss.
TRX100135,21-02-2022,16188.41,Asset,Asset,Enterprise,South,,,Explain article eat range history bar my eight.
TRX100136,24-05-2022,-44941.92,Expense,Payroll,Enterprise,North,,VEND1043,Hospital lot race.
TRX100137,16-10-2023,93719.25,Revenue,Product,Online,South,CUST10072,,Trip public college bill condition recently rate.
TRX100138,25-04-2022,140607.13,Revenue,Service,Retail,North,CUST10279,,But ask us offer movement.
TRX100139,07-02-2022,-45744.35,Expense,Marketing,Enterprise,East,,VEND1047,Fine girl body summer many.
TRX100140,24-05-2022,-42996.07,Expense,Other,Enterprise,South,,VEND1068,Mind common Mrs treatment worry.
TRX100141,08-06-2023,191662.08,Revenue,Service,Online,North,CUST10299,,Toward smile we box long change free public.
TRX100142,15-01-2023,237604.97,Revenue,Subscription,Online,East,CUST10242,,Off floor manage language entire bill although develop.
TRX100143,28-03-2022,159016.86,Revenue,Service,Online,South,CUST10030,,Conference happen well cup another popular decade offer.
TRX100144,18-06-2022,-44833.33,Expense,Other,Online,North,,VEND1065,Development great low movement west interest fast.
TRX100145,21-07-2022,18384.76,Asset,Asset,Retail,South,,,Card only present.
TRX100146,03-12-2022,198337.92,Revenue,Service,Online,North,CUST10244,,Term eight direction room even.
TRX100147,18-11-2023,99439.12,Revenue,Service,Retail,North,CUST10297,,Small simple score poor.
TRX100148,24-02-2022,-51832.07,Expense,Rent,Retail,East,,VEND1082,Morning let artist audience.
TRX100149,19-12-2023,-2000.00,Expense,Marketing,Online,South,,VEND1034,Single find middle bill study pick former.
TRX100150,01-10-2023,-49703.80,Expense,Other,Retail,North,,VEND1061,Side sing hold service find make.
TRX100151,28-10-2023,134505.50,Revenue,Service,Retail,East,CUST10026,,Beyond fill research avoid.
TRX100152,05-04-2023,119708.58,Revenue,Subscription,Online,South,CUST10218,,Put indicate between woman.
TRX100153,15-01-2023,201278.82,Revenue,Service,Enterprise,North,CUST10269,,Fight people never chance.
TRX100154,14-10-2022,149370.98,Revenue,Product,Enterprise,South,CUST10226,,Return such ahead media group have.
TRX100155,07-12-2022,-38870.42,Expense,Supplies,Online,West,,VEND1112,News certainly offer fill develop listen lot.
TRX100156,09-09-2022,12200.16,Equity,Equity,Enterprise,West,,,Important level bit office good lay reveal.
TRX100157,06-02-2022,-2000.00,Expense,Supplies,Enterprise,East,,VEND1005,Dream improve major seat where.
TRX100158,07-06-2022,-69861.91,Expense,Payroll,Retail,West,,VEND1109,Current service operation tree particularly.
TRX100159,02-10-2022,-55950.48,Expense,Other,Retail,South,,VEND1112,Wear without treatment company strategy.
TRX100160,28-11-2022,208463.24,Revenue,Subscription,Retail,East,CUST10219,,Everybody partner student let.
TRX100161,14-10-2022,128155.49,Revenue,Product,Online,North,CUST10322,,Interesting cultural its business wonder tax late.
TRX100162,25-07-2022,187122.76,Revenue,Subscription,Retail,South,CUST10123,,Computer church safe.
TRX100163,14-07-2023,-20907.29,Expense,Utilities,Enterprise,North,,VEND1067,Onto nation fine social nice only PM.
TRX100164,07-02-2023,14823.41,Asset,Asset,Online,East,,,Another maybe bad part meeting.
TRX100165,10-07-2023,-28967.07,Expense,Rent,Online,South,,VEND1116,It nature third discuss cell near.
TRX100166,02-10-2022,169470.48,Revenue,Product,Online,East,CUST10197,,Trial understand company turn yeah.
TRX100167,19-09-2023,-33871.64,Expense,Utilities,Online,South,,VEND1054,Who result foreign another number his season.
TRX100168,23-05-2022,-10104.65,Expense,Payroll,Retail,East,,VEND1052,New institution firm purpose.
TRX100169,18-01-2022,129847.65,Revenue,Product,Online,West,CUST10217,,Lose method he blood age evidence individual.
TRX100170,11-11-2023,-59959.59,Expense,Marketing,Online,East,,VEND1115,Language point feeling sure form until agent reduce.
TRX100171,25-09-2023,132157.59,Revenue,Subscription,Enterprise,East,CUST10371,,Maintain wife final though.
TRX100172,13-12-2023,123500.13,Revenue,Subscription,Enterprise,West,CUST10066,,Body policy space appear.
TRX100173,18-11-2023,184340.52,Revenue,Subscription,Enterprise,North,CUST10297,,Professor community notice per authority what speech.
TRX100174,26-07-2022,161356.91,Revenue,Service,Enterprise,West,CUST10193,,Several message never system large.
TRX100175,02-10-2023,-56282.81,Expense,Marketing,Online,South,,VEND1073,Effect goal as.
TRX100176,19-02-2023,59807.37,Revenue,Product,Online,West,CUST10279,,Might section consumer expert magazine compare bag.
TRX100177,30-06-2022,226510.26,Revenue,Subscription,Retail,East,CUST10245,,Rise in half tell clear local father.
TRX100178,04-01-2022,-51969.38,Expense,Payroll,Online,East,,VEND1077,Week myself table because respond.
TRX100179,24-09-2022,-20758.14,Expense,Marketing,Online,East,,VEND1014,Detail purpose leader rate box situation indeed.
TRX100180,22-08-2022,173663.29,Revenue,Service,Retail,South,CUST10016,,Total full bit each.
TRX100181,10-09-2023,184661.07,Revenue,Product,Online,South,CUST10191,,Forward style guess participant also professional measure.
TRX100182,25-02-2022,-41784.83,Expense,Payroll,Retail,South,,VEND1095,Thought season social join service.
TRX100183,04-12-2023,-61768.28,Expense,Payroll,Enterprise,East,,VEND1093,Personal check above.
TRX100184,28-01-2022,140778.64,Revenue,Service,Enterprise,East,CUST10112,,Establish establish worry shoulder field class.
TRX100185,28-02-2022,110967.18,Revenue,Service,Retail,East,CUST10221,,Interview perhaps tree require capital team enter.
TRX100186,03-04-2023,80490.90,Revenue,Subscription,Online,West,CUST10154,,Poor school manage answer listen method walk already.
TRX100187,23-07-2023,112269.50,Revenue,Product,Online,South,CUST10257,,Personal performance I ground wait air foot.
TRX100188,03-12-2023,256707.72,Revenue,Product,Enterprise,South,CUST10356,,Little up city down bill join.
TRX100189,11-06-2023,-3847.17,Expense,Payroll,Enterprise,South,,VEND1038,Describe second cause bad imagine.
TRX100190,29-08-2023,204542.93,Revenue,Product,Retail,East,CUST10280,,Community kind necessary arrive she drive.
TRX100191,29-10-2022,165512.57,Revenue,Service,Online,South,CUST10084,,Under evening answer ten.
TRX100192,14-06-2023,-37826.65,Expense,Other,Enterprise,West,,VEND1005,Trade west vote book window.
TRX100193,29-07-2023,110532.22,Revenue,Product,Enterprise,West,CUST10138,,Person care set street election system.
TRX100194,09-09-2022,140743.80,Revenue,Subscription,Retail,East,CUST10140,,Build when section herself.
TRX100195,21-08-2023,110450.42,Revenue,Service,Enterprise,East,CUST10344,,Commercial world occur stock charge.
TRX100196,31-03-2022,142685.59,Revenue,Product,Enterprise,South,CUST10309,,Mission protect employee fill old these whole.
TRX100197,22-08-2022,141925.95,Revenue,Product,Retail,West,CUST10050,,Event government goal simple one before still.
TRX100198,12-05-2022,161733.72,Revenue,Subscription,Retail,North,CUST10094,,Head sound project glass finally ask military one.
TRX100199,10-04-2022,195590.93,Revenue,Product,Online,East,CUST10098,,Oil mention gas instead realize store.
TRX100200,22-10-2022,142362.76,Revenue,Product,Online,East,CUST10314,,Happen Democrat my dinner so minute.
TRX100201,09-02-2023,187614.47,Revenue,Service,Retail,West,CUST10118,,Leg real last many growth past compare.
TRX100202,12-11-2023,155269.99,Revenue,Service,Online,South,CUST10178,,Resource win need certain authority.
TRX100203,27-04-2022,13840.21,Equity,Equity,Online,North,,,Mission that include watch degree.
TRX100204,26-05-2022,176192.68,Revenue,Service,Retail,East,CUST10175,,Candidate section somebody simply.
TRX100205,10-08-2023,-68512.38,Expense,Supplies,Retail,North,,VEND1088,Sport build success suggest rule catch.
TRX100206,10-03-2023,168232.54,Revenue,Product,Enterprise,East,CUST10081,,Brother respond assume model.
TRX100207,25-01-2023,149168.32,Revenue,Product,Retail,West,CUST10008,,Discussion skill realize green something several.
TRX100208,14-07-2022,150846.60,Revenue,Service,Enterprise,South,CUST10264,,Poor chance sometimes occur reveal fast event government.
TRX100209,26-10-2022,22375.13,Asset,Asset,Retail,East,,,Want organization finally hope.
TRX100210,10-03-2022,148379.33,Revenue,Subscription,Retail,West,CUST10026,,Daughter couple far.
TRX100211,28-09-2023,-4039.24,Expense,Marketing,Online,North,,VEND1022,Issue war child despite lawyer.
TRX100212,02-11-2023,47134.35,Revenue,Subscription,Retail,East,CUST10198,,Just everyone people before rate.
TRX100213,15-01-2022,90157.01,Revenue,Service,Enterprise,South,CUST10191,,National action everyone home certainly.
TRX100214,18-05-2023,210728.89,Revenue,Service,Online,North,CUST10008,,Choice difficult anything.
TRX100215,15-02-2022,239664.05,Revenue,Subscription,Enterprise,East,CUST10246,,Admit per finally say water pretty.
TRX100216,16-02-2023,-35323.57,Expense,Payroll,Enterprise,East,,VEND1075,Social blue particularly today.
TRX100217,04-12-2022,179064.28,Revenue,Subscription,Retail,East,CUST10106,,Hand mission thousand worry.
TRX100218,23-01-2023,26351.81,Liability,Liability,Online,East,,,Very focus manage serious small call.
TRX100219,05-12-2023,104723.28,Revenue,Product,Retail,North,CUST10172,,Beyond save Republican wrong home.
TRX100220,29-12-2023,200100.57,Revenue,Product,Online,North,CUST10164,,Raise effect change stop business happen.
TRX100221,21-05-2023,200288.76,Revenue,Product,Enterprise,North,CUST10221,,Debate modern call important black somebody.
TRX100222,17-01-2023,-59966.24,Expense,Rent,Enterprise,South,,VEND1030,General him majority walk truth read.
TRX100223,18-11-2023,143333.77,Revenue,Product,Retail,South,CUST10297,,Impact exactly several.
TRX100224,18-01-2023,-37758.51,Expense,Payroll,Online,East,,VEND1024,Within hot day old ask business institution ok.
TRX100225,07-07-2023,-52435.17,Expense,Other,Online,West,,VEND1044,Score fill successful.
TRX100226,16-01-2023,219687.82,Revenue,Subscription,Enterprise,South,CUST10096,,No again specific more big friend religious.
TRX100227,25-06-2022,190706.66,Revenue,Service,Enterprise,North,CUST10276,,Rule deep but without moment board image performance.
TRX100228,31-08-2023,-32221.65,Expense,Marketing,Enterprise,South,,VEND1076,Country hospital party such nor class parent.
TRX100229,02-10-2022,-34065.91,Expense,Other,Online,South,,VEND1104,Arm only others loss.
TRX100230,01-05-2023,115969.76,Revenue,Product,Enterprise,East,CUST10031,,Rate together collection friend pretty call old.
TRX100231,30-12-2023,206771.14,Revenue,Service,Retail,South,CUST10059,,Activity simply himself tree player rich.
TRX100232,23-11-2023,-11089.57,Expense,Payroll,Retail,North,,VEND1083,Project national walk green reduce travel.
TRX100233,26-02-2022,-37243.06,Expense,Marketing,Enterprise,West,,VEND1114,Suddenly change so chair customer animal meeting.
TRX100234,30-12-2022,-60975.57,Expense,Other,Enterprise,East,,VEND1054,Century garden manager manage.
TRX100235,27-10-2022,124412.19,Revenue,Service,Online,North,CUST10071,,Opportunity play reason account since event Republican national.
TRX100236,19-02-2022,143226.17,Revenue,Service,Enterprise,South,CUST10143,,Chair physical detail hair but financial.
TRX100237,23-10-2023,25468.07,Asset,Asset,Online,North,,,Author process live eye.
TRX100238,05-10-2023,127291.15,Revenue,Service,Enterprise,South,CUST10307,,Avoid woman force.
TRX100239,13-07-2023,130463.02,Revenue,Service,Online,West,CUST10275,,Own part game might really style.
TRX100240,03-04-2023,-30172.64,Expense,Payroll,Enterprise,West,,VEND1004,Class blood order big very with.
TRX100241,17-08-2022,198436.19,Revenue,Product,Retail,West,CUST10312,,Country pay professional provide black.
TRX100242,24-10-2023,-66926.77,Expense,Other,Enterprise,North,,VEND1094,Say kid week car thousand decision wait much.
TRX100243,15-08-2023,233980.73,Revenue,Product,Retail,North,CUST10268,,Specific pick answer give economy southern federal.
TRX100244,13-09-2023,-40637.75,Expense,Supplies,Retail,West,,VEND1060,Few need development return.
TRX100245,08-08-2023,184082.85,Revenue,Subscription,Enterprise,West,CUST10354,,Share check moment yourself about writer represent.
TRX100246,25-03-2023,209452.91,Revenue,Service,Online,West,CUST10167,,Government physical enough.
TRX100247,09-03-2022,155723.09,Revenue,Subscription,Retail,North,CUST10370,,Usually between kid difficult deal matter thought.
TRX100248,19-06-2022,-60508.54,Expense,Payroll,Enterprise,North,,VEND1080,Technology early town industry.
TRX100249,14-02-2023,-35202.09,Expense,Payroll,Online,West,,VEND1102,People seek myself success perform chance east.
TRX100250,20-03-2023,-48822.68,Expense,Rent,Online,North,,VEND1020,Eight food like everything whether need much.
TRX100251,18-08-2022,194773.82,Revenue,Product,Online,South,CUST10348,,Return well take card price trial.
TRX100252,07-12-2022,164226.57,Revenue,Subscription,Enterprise,East,CUST10127,,Great Republican tree difficult soldier like heavy check.
TRX100253,07-02-2023,159195.70,Revenue,Service,Enterprise,East,CUST10316,,Who night news newspaper industry box.
TRX100254,25-10-2023,-52095.54,Expense,Payroll,Retail,South,,VEND1001,Give bar action best walk mother.
TRX100255,01-09-2022,-16147.83,Expense,Supplies,Enterprise,East,,VEND1100,Eight probably seem staff understand compare friend.
TRX100256,09-05-2023,178264.70,Revenue,Subscription,Retail,West,CUST10291,,Account stay never environment.
TRX100257,10-12-2023,156945.42,Revenue,Subscription,Retail,South,CUST10137,,Work anything budget kid service.
TRX100258,05-08-2022,-41339.76,Expense,Utilities,Retail,South,,VEND1118,Blue city head change.
TRX100259,24-05-2022,-43202.58,Expense,Other,Online,North,,VEND1111,Hit until yard foot without at sit.
TRX100260,14-02-2023,115218.39,Revenue,Subscription,Online,South,CUST10341,,Time view win research.
TRX100261,29-12-2023,-7357.52,Expense,Supplies,Enterprise,South,,VEND1039,Woman movement authority office very.
TRX100262,07-05-2022,-29490.91,Expense,Supplies,Enterprise,South,,VEND1060,House my line movie case stuff yet.
TRX100263,28-01-2022,-33946.99,Expense,Rent,Online,South,,VEND1010,Within fight wonder radio business old garden.
TRX100264,14-02-2022,194189.19,Revenue,Service,Retail,North,CUST10245,,Owner about way here fire job air.
